"Cruise","Station","Type","Date","Longitude","Latitude","Press","Depth","Temp","Sal","Oxy","Phos","Si","Ni","TA","DIC","ptemp","S0","S1","S2","S3","S4","ndens","AOU"
"740H20090307",23,"B","2009-03-16T13:41:00",-41.00601,-23.161,6.6,7,25.976,36.764999,208.66,NA,NA,NA,NA,NA,25.975,24.375999,28.554001,32.640999,36.639,40.553001,24.306999,-7.474
"740H20090307",23,"B","2009-03-16T13:41:00",-41.00601,-23.161,25.9,26,25.099,36.798,210.21,0.05,2.413,0.0297,2411,2082.4,25.094,24.674,28.863001,32.959999,36.970001,40.894001,24.632999,-6.121
"740H20090307",23,"B","2009-03-16T13:41:00",-41.00601,-23.161,51,51,22.555,36.77,209.69,NA,NA,NA,NA,NA,22.545,25.41,29.632999,33.764,37.806,41.761002,25.427,3.435
"740H20090307",23,"B","2009-03-16T13:41:00",-41.00601,-23.161,51.4,51,22.603,36.771999,209.69,NA,NA,NA,NA,NA,22.593,25.398001,29.621,33.750999,37.792,41.747002,25.414,3.256
"740H20090307",23,"B","2009-03-16T13:41:00",-41.00601,-23.161,76.4,76,20.676,36.424,209.07,NA,NA,NA,NA,NA,20.662,25.672001,29.924999,34.084999,38.153999,42.136002,25.700001,11.709
"740H20090307",23,"B","2009-03-16T13:41:00",-41.00601,-23.161,100.8,100,19.564,36.222,204.72,NA,NA,NA,NA,NA,19.545,25.816,30.087,34.264999,38.351002,42.349998,25.849001,20.83
"740H20090307",24,"B","2009-03-16T15:14:00",-40.961,-23.201,4.9,5,27.289,36.883999,205.34,0.05,3.0115,0.1782,2410.6,2066.2,27.288,24.047001,28.208,32.278999,36.262001,40.16,23.952,-8.562
"740H20090307",24,"B","2009-03-16T15:14:00",-40.961,-23.201,24.5,24,26.738,36.987,210.21,0.05,2.565,0.1287,2420.8,2073.8,26.732,24.302999,28.469999,32.547001,36.535999,40.439999,24.235001,-11.779
"740H20090307",24,"B","2009-03-16T15:14:00",-40.961,-23.201,49.5,49,24.214,36.972,211.66,0.12,2.3655,0.1386,2421.4,2092.1,24.203,25.076,29.275,33.382999,37.403,41.335999,25.073999,-4.741
"740H20090307",24,"B","2009-03-16T15:14:00",-40.961,-23.201,74.6,74,21.713,36.636002,206.38,0.16,2.5365,0.8811,2403.4,2096.8,21.699,25.548,29.784,33.928001,37.981998,41.949001,25.570999,10.094
"740H20090307",24,"B","2009-03-16T15:14:00",-40.961,-23.201,150,149,18.02,35.941002,206.38,0.27,2.812,2.2572,2358.9,2101,17.994,25.996,30.294001,34.497002,38.609001,42.632,26.035999,26.132
"740H20090307",24,"B","2009-03-16T15:14:00",-40.961,-23.201,251,249,13.656,35.285,206.48,0.7,4.522,9.1971,2324.4,2118.6,13.62,26.488001,30.868,35.150002,39.339001,43.436001,26.556,47.7
